0,011,Producció agrícola,01
1,012,Producció ramadera,01
2,013,Producció agrícola combinada amb la producció ramadera,01
3,014,Activitats dels serveis relacionats amb l'agricultura i la ramaderia i el manteniment de jardins, excepte les activitats veterinàries,01
4,015,Caça, captura d'animals i repoblació cinegètica, incloses les activitats dels serveis que s'hi relacionen,01
5,020,Silvicultura, explotació forestal i activitats dels serveis que s'hi relacionen,02
6,050,Pesca, aqüicultura i activitats dels serveis que s'hi relacionen,05
7,101,Extracció i aglomeració d'antracita i hulla,10
8,102,Extracció i aglomeració de lignit bru,10
9,103,Extracció i aglomeració de torba,10
10,111,Extracció de petroli brut i de gas natural,11
11,112,Activitats dels serveis relacionats amb les explotacions petrolíferes i de gas, excepte les activitats de prospecció,11
12,120,Extracció de minerals d'urani i de tori,12
13,131,Extracció de minerals de ferro,13
14,132,Extracció de minerals metàl·lics no fèrrics, excepte els minerals d'urani i de tori,13
15,141,Extracció de pedra,14
16,142,Extracció de sorres i argiles,14
17,143,Extracció de minerals per a adobs i productes químics,14
18,144,Producció de sal,14
19,145,Extracció d'altres minerals no metàl·lics ni energètics,14
20,151,Indústries càrnies,15
21,152,Elaboració i conservació de peix i productes a base de peix,15
22,153,Preparació i conservació de fruites i hortalisses,15
23,154,Fabricació de greixos i olis (vegetals i animals),15
24,155,Indústries làcties,15
25,156,Fabricació de productes de molineria, midons i productes amilacis,15
26,157,Fabricació de productes per a l'alimentació animal,15
27,158,Fabricació d'altres productes alimentaris,15
28,159,Elaboració de begudes,15
29,160,Indústries del tabac,16
30,171,Preparació i filatura de fibres tèxtils,17
31,172,Fabricació de teixits tèxtils,17
32,173,Acabament de tèxtils,17
33,174,Fabricació d'altres articles confeccionats amb tèxtils, excepte la roba de vestir,17
34,175,Altres indústries tèxtils,17
35,176,Fabricació de teixits de punt,17
36,177,Fabricació d'articles amb teixits de punt,17
37,181,Confecció de peces de vestir de cuir,18
38,182,Confecció de peces de vestir amb tèxtils i accessoris,18
39,183,Preparació i tenyiment de pells de pelleteria; fabricació d'articles de pelleteria,18
40,191,Preparació, adob i acabament del cuir,19
41,192,Fabricació d'articles de marroquineria i viatge; articles de guarnicioneria i talabarderia,19
42,193,Fabricació de calçat,19
