
Secciones;A;AGRICULTURA, RAMADERIA, CAÇA I SILVICULTURA;
Subsecciones;AA;AGRICULTURA, RAMADERIA, CAÇA I SILVICULTURA;
Divisiones;01;Agricultura, ramaderia, caça i activitats dels serveis que s'hi relacionen;
Grupos;011;Producció agrícola;
Clases;0111;Conreu de cereals i altres conreus;
Subclases;01110;Conreu de cereals i altres conreus;
Clases;0112;Conreu d'hortalisses, especialitats d'horticultura i productes de planter;
Subclases;01121;Conreu d'hortalisses;
Subclases;01122;Conreu de flors i plantes ornamentals;
Clases;0113;Conreu de fruites, fruita seca, espècies i conreus per a begudes;
Subclases;01131;Conreu de vinya;
Subclases;01132;Conreu de cítrics;
Subclases;01133;Conreu d'olivera;
Subclases;01134;Conreu d'altres fruites, fruita seca, espècies i conreus per a begudes;
Grupos;012;Producció ramadera;
Clases;0121;Explotació de bestiar boví i producció de llet crua;
Subclases;01210;Explotació de bestiar boví i producció de llet crua;
Clases;0122;Explotació de bestiar oví, cabrum i equí;
Subclases;01221;Explotació de bestiar oví i cabrum;
Subclases;01222;Explotació de bestiar equí;
Clases;0123;Explotació de bestiar porcí;
Subclases;01231;Explotació intensiva de bestiar porcí;
Subclases;01232;Explotació extensiva de bestiar porcí;
Clases;0124;Avicultura;
Subclases;01240;Avicultura;
Clases;0125;Altres explotacions de bestiar;
Subclases;01250;Altres explotacions de bestiar;
Grupos;013;Producció agrícola combinada amb la producció ramadera;
Clases;0130;Producció agrícola combinada amb la producció ramadera;
Subclases;01300;Producció agrícola combinada amb la producció ramadera;
Grupos;014;Activitats dels serveis relacionats amb l'agricultura i la ramaderia i el manteniment de jardins, excepte les activitats veterinàries;
Clases;0141;Activitats dels serveis relacionats amb l'agricultura i el manteniment de jardins;
Subclases;01410;Activitats dels serveis relacionats amb l'agricultura i el manteniment de jardins;
Clases;0142;Activitats dels serveis relacionats amb la ramaderia, excepte les activitats veterinàries;
Subclases;01420;Activitats dels serveis relacionats amb la ramaderia, excepte les activitats veterinàries;
Grupos;015;Caça, captura d'animals i repoblació cinegètica, incloses les activitats dels serveis que s'hi relacionen;
Clases;0150;Caça, captura d'animals i repoblació cinegètica, incloses les activitats dels serveis que s'hi relacionen;
Subclases;01501;Caça i captura d'animals;
Subclases;01502;Repoblació cinegètica;
Subclases;01503;Activitats dels serveis relacionats amb la caça;
Divisiones;02;Silvicultura, explotació forestal i activitats dels serveis que s'hi relacionen;
Grupos;020;Silvicultura, explotació forestal i activitats dels serveis que s'hi relacionen;
Clases;0201;Silvicultura i explotació forestal;
Subclases;02011;Silvicultura;
Subclases;02012;Explotació forestal;
Clases;0202;Activitats dels serveis relacionats amb la silvicultura i l'explotació forestal;
Subclases;02020;Activitats dels serveis relacionats amb la silvicultura i l'explotació forestal;
Secciones;B;PESCA;
Subsecciones;BB;PESCA;
Divisiones;05;Pesca, aqüicultura i activitats dels serveis que s'hi relacionen;
Grupos;050;Pesca, aqüicultura i activitats dels serveis que s'hi relacionen;
Clases;0501;Pesca;
Subclases;05010;Pesca;
Clases;0502;Aqüicultura;
Subclases;05021;Aqüicultura continental;
Subclases;05022;Aqüicultura marina;
Secciones;C;INDÚSTRIES EXTRACTIVES;
Subsecciones;CA;EXTRACCIÓ DE PRODUCTES ENERGÈTICS;
Divisiones;10;Extracció i aglomeració d'antracita, hulla, lignit i torba;
Grupos;101;Extracció i aglomeració d'antracita i hulla;
Clases;1010;Extracció i aglomeració d'antracita i hulla;
Subclases;10101;Extracció i aglomeració d'antracita;
Subclases;10102;Extracció i aglomeració d'hulla;
Subclases;10103;Extracció i aglomeració d'hulla subbituminosa;
Grupos;102;Extracció i aglomeració de lignit bru;
Clases;1020;Extracció i aglomeració de lignit bru;
Subclases;10200;Extracció i aglomeració de lignit bru;
Grupos;103;Extracció i aglomeració de torba;
Clases;1030;Extracció i aglomeració de torba;
Subclases;10300;Extracció i aglomeració de torba;
Divisiones;11;"Extracció de petroli brut i de gas natural; activitats dels serveis relacionats amb les explotacions petrolíferes i de gas, excepte les activitats de prospecció";
Grupos;111;Extracció de petroli brut i de gas natural;
Clases;1110;Extracció de petroli brut i de gas natural;
Subclases;11100;Extracció de petroli brut i de gas natural;
Grupos;112;Activitats dels serveis relacionats amb les explotacions petrolíferes i de gas, excepte les activitats de prospecció;
Clases;1120;Activitats dels serveis relacionats amb les explotacions petrolíferes i de gas, excepte les activitats de prospecció;
Subclases;11200;Activitats dels serveis relacionats amb les explotacions petrolíferes i de gas, excepte les activitats de prospecció;
Divisiones;12;Extracció de minerals d'urani i de tori;
Grupos;120;Extracció de minerals d'urani i de tori;
Clases;1200;Extracció de minerals d'urani i de tori;
Subclases;12000;Extracció de minerals d'urani i de tori;
Subsecciones;CB;EXTRACCIÓ D'ALTRES MINERALS EXCEPTE PRODUCTES ENERGÈTICS;
Divisiones;13;Extracció de minerals metàl·lics;
Grupos;131;Extracció de minerals de ferro;
Clases;1310;Extracció de minerals de ferro;
Subclases;13100;Extracció de minerals de ferro;
Grupos;132;Extracció de minerals metàl·lics no fèrrics, excepte els minerals d'urani i de tori;
Clases;1320;Extracció de minerals metàl·lics no fèrrics, excepte els minerals d'urani i de tori;
Subclases;13201;Extracció de coure, plom i zinc;
Subclases;13202;Extracció de metalls preciosos;
Subclases;13203;Extracció d'altres minerals metàl·lics no fèrrics;
Divisiones;14;Extracció de minerals no metàl·lics ni energètics;
Grupos;141;Extracció de pedra;
Clases;1411;Extracció de pedra ornamental i per a la construcció;
Subclases;14111;Extracció de marbre;
Subclases;14112;Extracció de granit;
Subclases;14113;Extracció d'altres tipus de pedra ornamental i per a la construcció;
Clases;1412;Extracció de pedra calcària, guix i creta;
Subclases;14121;Extracció de guix;
Subclases;14122;Extracció de creta;
Subclases;14123;Extracció d'altres pedres;
Clases;1413;Extracció de pissarres;
Subclases;14130;Extracció de pissarres;
Grupos;142;Extracció de sorres i argiles;
Clases;1421;Extracció de graves i sorres;
Subclases;14210;Extracció de graves i sorres;
Clases;1422;Extracció d'argila i caolí;
Subclases;14221;Extracció de caolí;
Subclases;14222;Extracció d'argila;
Grupos;143;Extracció de minerals per a adobs i productes químics;
Clases;1430;Extracció de minerals per a adobs i productes químics;
Subclases;14301;Extracció de fosfats i nitrats;
Subclases;14302;Extracció de sals potàssiques;
Subclases;14303;Extracció de pirites i sofre;
Subclases;14304;Extracció de fluorita;
Subclases;14305;Extracció d'altres minerals per a adobs i productes químics;
Grupos;144;Producció de sal;
Clases;1440;Producció de sal;
Subclases;14401;Extracció de sal marina;
Subclases;14402;Extracció de sal de font i sal gemma;
Grupos;145;Extracció d'altres minerals no metàl·lics ni energètics;
Clases;1450;Extracció d'altres minerals no metàl·lics ni energètics;
Subclases;14501;Extracció de feldspats;
Subclases;14502;Extracció d'altres minerals;
Secciones;D;INDÚSTRIES MANUFACTURERES;
Subsecciones;DA;INDÚSTRIES DE L'ALIMENTACIÓ, BEGUDES I TABAC;
Divisiones;15;Indústries de productes alimentaris i begudes;
Grupos;151;Indústries càrnies;
Clases;1511;Sacrifici de bestiar i conservació de carn;
Subclases;15111;Sacrifici de bestiar;
Subclases;15112;Especejament de bestiar;
Clases;1512;Sacrifici i conservació de volateria;
Subclases;15121;Sacrifici d'aviram i conills;
Subclases;15122;Especejament d'aviram i conills;
Clases;1513;Fabricació de productes carnis;
Subclases;15131;Elaboració de productes carnis;
Subclases;15132;Manipulació de productes carnis elaborats;
Subclases;15133;Elaboració de plats preparats a base de carn;
Grupos;152;Elaboració i conservació de peix i productes a base de peix;
Clases;1520;Elaboració i conservació de peix i productes a base de peix;
Subclases;15201;Elaboració de productes congelats o refrigerats de peix i altres productes marins;
Subclases;15202;Fabricació de conserves de peix;
Subclases;15203;Elaboració de productes de la pesca fumats;
Grupos;153;Preparació i conservació de fruites i hortalisses;
Clases;1531;Preparació i conservació de patates;
Subclases;15310;Preparació i conservació de patates;
Clases;1532;Fabricació de sucs de fruites i hortalisses;
Subclases;15321;Fabricació de suc de raïm;
Subclases;15322;Fabricació d'altres sucs de fruites i hortalisses;
Clases;1533;Fabricació de conserves de fruites i hortalisses;
Subclases;15331;Preparació d'hortalisses congelades;
Subclases;15332;Preparació i conservació d'hortalisses no congelades;
Subclases;15333;Preparació i conservació d'olives;
Subclases;15334;Fabricació de conserves de fruites;
Grupos;154;Fabricació de greixos i olis (vegetals i animals);
Clases;1541;Fabricació d'olis i greixos sense refinar;
Subclases;15411;Obtenció d'oli d'oliva sense refinar;
Subclases;15412;Obtenció d'altres greixos i olis vegetals sense refinar;
Subclases;15413;Obtenció d'altres greixos i olis animals no comestibles;
Clases;1542;Fabricació d'olis i greixos refinats;
Subclases;15420;Fabricació d'olis i greixos refinats;
Clases;1543;Fabricació de margarina i greixos comestibles similars;
Subclases;15430;Fabricació de margarina i greixos comestibles similars;
Grupos;155;Indústries làcties;
Clases;1551;Fabricació de productes lactis;
Subclases;15511;Preparació de llet, fabricació de mantega i altres productes lactis;
Subclases;15512;Fabricació de formatges;
Clases;1552;Elaboració de gelats;
Subclases;15520;Elaboració de gelats;
Grupos;156;Fabricació de productes de molineria, midons i productes amilacis;
Clases;1561;Fabricació de productes de molineria;
Subclases;15611;Mòlta de blat;
Subclases;15612;Mòlta d'altres grans;
Subclases;15613;Fabricació d'altres productes de molineria;
Clases;1562;Fabricació de midons i productes amilacis;
Subclases;15620;Fabricació de midons i productes amilacis;
Grupos;157;Fabricació de productes per a l'alimentació animal;
Clases;1571;Fabricació de productes per a l'alimentació d'animals de granja;
Subclases;15711;Elaboració de pinsos per a l'alimentació d'animals de granja, excepte medicamentosos;
Subclases;15712;Elaboració de pinsos medicamentosos per a l'alimentació d'animals de granja;
Subclases;15713;Deshidratació d'alfals i altres plantes farratgeres per a l'alimentació d'animals de granja;
Clases;1572;Fabricació de productes per a l'alimentació d'animals de companyia;
Subclases;15720;Fabricació de productes per a l'alimentació d'animals de companyia;
Grupos;158;Fabricació d'altres productes alimentaris;
Clases;1581;Fabricació de pa i de productes de fleca i pastisseria frescos;
Subclases;15811;Fabricació de pa i altres productes de fleca frescos;
Subclases;15812;Fabricació de productes de pastisseria;
Clases;1582;Fabricació de galetes i productes de fleca i pastisseria de llarga durada;
Subclases;15821;Fabricació de galetes;
Subclases;15822;Fabricació de productes de fleca i pastisseria de llarga durada;
Clases;1583;Indústries del sucre;
Subclases;15830;Indústries del sucre;
Clases;1584;Indústries del cacau, xocolata i confiteria;
Subclases;15841;Fabricació de cacau i xocolata;
Subclases;15842;Fabricació de productes de confiteria;
Clases;1585;Fabricació de pastes alimentàries;
Subclases;15850;Fabricació de pastes alimentàries;
Clases;1586;Elaboració de cafè, te i infusions;
Subclases;15860;Elaboració de cafè, te i infusions;
Clases;1587;Elaboració d'espècies, salses i condiments;
Subclases;15871;Elaboració de vinagres, salses i condiments mixtos;
Subclases;15872;Elaboració d'espècies;
Clases;1588;Elaboració de preparats per a l'alimentació infantil i preparats dietètics;
Subclases;15881;Elaboració de preparats per a l'alimentació infantil;
Subclases;15882;Elaboració d'altres preparats dietètics;
Clases;1589;Elaboració d'altres productes alimentaris;
Subclases;15890;Elaboració d'altres productes alimentaris;
Grupos;159;Elaboració de begudes;
Clases;1591;Destil·lació de begudes alcohòliques;
Subclases;15911;Obtenció d'aiguardents naturals;
Subclases;15912;Obtenció d'altres begudes alcohòliques destil·lades;
Clases;1592;Destil·lació d'alcohol etílic procedent de fermentació;
Subclases;15920;Destil·lació d'alcohol etílic procedent de fermentació;
Clases;1593;Elaboració de vins;
Subclases;15931;Elaboració de caves i vins escumosos naturals;
Subclases;15932;Elaboració i criança de vins;
Clases;1594;Elaboració de sidra i altres begudes fermentades a partir de fruites;
Subclases;15940;Elaboració de sidra i altres begudes fermentades a partir de fruites;
Clases;1595;Elaboració d'altres begudes no destil·lades, procedents de fermentació;
Subclases;15950;Elaboració d'altres begudes no destil·lades, procedents de fermentació;
Clases;1596;Fabricació de cervesa;
Subclases;15960;Fabricació de cervesa;
Clases;1597;Fabricació de malt;
Subclases;15970;Fabricació de malt;
Clases;1598;Producció d'aigües minerals i de begudes analcohòliques;
Subclases;15981;Envasament d'aigua mineral natural, de font i potable preparada;
Subclases;15982;Producció de begudes refrescants sense alcohol;
