__id,identificador,area_professional,familia_professional,denominacio,ambit,hores,modalitat
row-nfce_4yx6-y4hp,243396,Maquinària de construcció,Edificació i obra civil,Operador/a de plataformes mòbils de personal (PEMP),Construcció,12,Presencial
row-mnc7.zubt~2y8j,249572,Seguretat i prevenció,Seguretat i medi ambient,Formació específica per a Vigilants de Seguretat que prestin servei de vigilància en esdeveniments esportius i espectacles públics,Serveis a les empreses,20,Presencial
row-qjt5~zqy3-wckf,245265,Logística comercial i gestió del transport,Comerç i màrqueting,Transpalet : Elèctrica o Apilador  Manual i de Conductor a bord,Competències transversals de gestió i habilitats personals,10,Presencial
row-vuz5~th6d~txyx,244835,Seguretat i prevenció,Seguretat i medi ambient,Prevenció detecció i atenció a les víctimes de violència sexual en seguretat privada,Serveis a les empreses,20,Presencial
row-89x2.irh2~rfa8,243609,Fleca pastisseria confiteria i molineria,Indústries alimentàries,Brioixeria creativa,Agroalimentària,10,Presencial
row-7mt4~ziv3-edpb,240260,Fleca pastisseria confiteria i molineria,Indústries alimentàries,Aplicacions bàsiques de la xocolata,Agroalimentària,10,Presencial
row-sh4j_rgi8~hr9q,240269,Fleca pastisseria confiteria i molineria,Indústries alimentàries,Pastisseria artesana tècniques de base,Agroalimentària,20,Presencial
row-rw8s~jczv~f8i7,240261,Fleca pastisseria confiteria i molineria,Indústries alimentàries,Brioixeria creativa,Agroalimentària,10,Presencial
row-ym9d-247x.ccsj,246276,Seguretat i prevenció,Seguretat i medi ambient,Formació específica per a Vigilants de Seguretat que prestin servei amb aparells de raigs X,Serveis a les empreses,20,Presencial
row-2p6s.um6m.bs4r,242327,Habilitats personals i socials,Competències transversals,Coaching de fortaleses,Competències transversals de gestió i habilitats personals,40,adaptada a Aula virtual
row-mbsn_5rqs_q822,249601,Restauració,Hostaleria i turisme,Baig cooking,Turisme  hostaleria i joc,20,Presencial
row-6rgg_6w9i~huyp,249780,Digitals / Ofimàtica / Tics,Formació complementària,WhatsApp Business per a millorar la comunicació amb els teus clients,Competències transversals de gestió i habilitats personals,12,Presencial
row-n62f_ee8c~frpb,249599,Restauració,Hostaleria i turisme,Aprofitament i reciclatge de matèries primeres,Turisme  hostaleria i joc,20,Presencial
row-k72b.3a4m.u3px,244795,Conducció de vehicles per carretera,Transport i manteniment de vehicles,Formació sobre sensibilització i educació viària (Formació Complementària de la Formació Contínua CAP Mercaderies i Viatgers),Transports  comunicacions i mar,14,Presencial
row-d5pb-xjh2-t2xu,252252,Projecte i seguiment d'obra,Edificació i obra civil,Revit intermig entorn BIM,Construcció,16,Presencial
row-wn8f_393w~2xwx,251170,Logística comercial i gestió del transport,Comerç i màrqueting,Operació de carretons Norma UNE 58451,Competències transversals de gestió i habilitats personals,24,Presencial
row-fzyt-5rae.sa76,249754,Logística comercial i gestió del transport,Comerç i màrqueting,Operació de carretons Norma Renovació UNE 58451,Competències transversals de gestió i habilitats personals,6,Presencial
row-9hkm_trwf~5c9p,244782,Logística comercial i gestió del transport,Comerç i màrqueting,Operació de carretons Norma UNE 58451,Comerç,24,Presencial
row-7j8m~5rfa~77eg,253304,Atenció sanitària,Sanitat,Primers auxilis bàsics a l'àmbit sanitari,Sanitat  afers socials i serveis a les persones,10,Presencial
row-9bvz_ykra.hc8v,253298,Aliments diversos,Indústries alimentàries,Seguretat alimentària manipulació i control d'aliments,Agroalimentària,6,Presencial
row-ktm8.e73t~7gh6,244782,Logística comercial i gestió del transport,Comerç i màrqueting,Operació de carretons Norma UNE 58451,Comerç,24,Presencial
row-dssy-x3iy.hce4,249389,Ramaderia,Agrària,Gestió ambiental i lluita contra el canvi climàtic en granges porcines,Agroalimentària,5,Presencial
row-gt5c.uqer~2cua,249733,Habilitats de gestió / Organitzacionals / Metodològiques,Competències transversals,Gestió del temps i productivitat,Competències transversals de gestió i habilitats personals,30,adaptada a Aula virtual
row-zcqp~9ns2.mds3,243647,Aliments diversos,Indústries alimentàries,Seguretat alimentària manipulació i control d'aliments,Agroalimentària,6,Presencial
row-i8sy-vxhr-cc7u,240452,Seguretat i prevenció,Seguretat i medi ambient,Prevenció de riscos laborals per a feines de pintura. Part específica,Construcció,6,Presencial
row-wsnv.f2t5~pmb2,240451,Seguretat i prevenció,Seguretat i medi ambient,Prevenció de riscos laborals per a treballs de paleteria,Construcció,20,Presencial
row-wzt6-qnub-xck7,249506,Atenció social,Serveis socioculturals i a la comunitat,Atenció a persones malaltes amb demència,Sanitat  afers socials i serveis a les persones,15,adaptada a Aula virtual
row-i87z~x73s-kj6x,251295,Maquinària de construcció,Edificació i obra civil,Operador/a de plataformes mòbils de personal (PEMP),Competències transversals de gestió i habilitats personals,12,Presencial
row-nbt8_dqqi.u8cw,255908,Administració i auditoria,Administració i gestió,Gestió fiscal de la persona treballadora autònoma,Autònoms i Economia Social,8,adaptada a Aula virtual
row-vej4-frir.4xwi,255912,Finances i assegurances,Administració i gestió,Estratègies de reducció de costos,Autònoms i Economia Social,8,adaptada a Aula virtual
row-2azq.2qyc~m5t4,255909,Administració i auditoria,Administració i gestió,Gestió fiscal de la persona treballadora autònoma,Autònoms i Economia Social,8,Teleformació
row-k9bx~na2v_dppp,254479,Projecte i seguiment d'obra,Edificació i obra civil,Revit bàsic entorn BIM,Construcció,16,adaptada a Aula virtual
row-ga9a_u6vx-2iyt,255915,Gestió de la informació i comunicació,Administració i gestió,Màrqueting digital per a persones treballadores autònomes,Autònoms i Economia Social,8,Teleformació
row-akjw-q7ps-yx6x,255908,Administració i auditoria,Administració i gestió,Gestió fiscal de la persona treballadora autònoma,Autònoms i Economia Social,8,adaptada a Aula virtual
row-atab.4xm3_7985,249381,Aliments diversos,Indústries alimentàries,Al·lèrgies i intoleràncies alimentàries. Nivell bàsic,Agroalimentària,6,Presencial
row-nghs~74uv-yjis,255914,Gestió de la informació i comunicació,Administració i gestió,Màrqueting digital per a persones treballadores autònomes,Autònoms i Economia Social,8,adaptada a Aula virtual
row-t2su.ktk9~pfbc,255752,Orientació,Competències transversals,Personal branding,Competències transversals de gestió i habilitats personals,30,Presencial
row-c4ph-7qdx.2khh,252252,Projecte i seguiment d'obra,Edificació i obra civil,Revit intermig entorn BIM,Construcció,16,Presencial
row-n65w_wp23-hdhu,245265,Logística comercial i gestió del transport,Comerç i màrqueting,Transpalet : Elèctrica o Apilador  Manual i de Conductor a bord,Competències transversals de gestió i habilitats personals,10,Presencial
row-jmtt.k7iu_m922,244782,Logística comercial i gestió del transport,Comerç i màrqueting,Operació de carretons Norma UNE 58451,Comerç,24,Presencial
row-y57f.8b7g~9w5v,244745,Atenció social,Serveis socioculturals i a la comunitat,Tècniques i cures auxiliars en geriatria,Sanitat  afers socials i serveis a les persones,20,Teleformació
row-r8hx~id8w~7eti,244806,Maquinària de construcció,Edificació i obra civil,Operador/a de plataformes mòbils de personal (PEMP),Construcció,12,Presencial
row-nfy6_f44r_thp3,244147,Restauració,Hostaleria i turisme,Cuina de temporada,Turisme  hostaleria i joc,30,Presencial
row-jm94.jdhg_j94u,245264,Logística comercial i gestió del transport,Comerç i màrqueting,Operació de carretons Norma UNE 58451,Competències transversals de gestió i habilitats personals,24,Presencial
row-vz5v~xqvg-bcx6,259463,Formació i educació,Serveis socioculturals i a la comunitat,: SSCE0110_MF1445_Avaluació del procés d'ensenyament-aprenentatge en formació professional per a l'ocupació,Continuïtat formativa,60,Teleformació
row-n3wn-ztfs-3yv7,246220,Formació i educació,Serveis socioculturals i a la comunitat,Educació emocional a l'aula,Educació  formació i lleure,20,Presencial
row-4dxx_6c9v~mm23,259724,Estètica,Imatge personal,: IMPE0108_MF0345_Depilació mecànica i decoloració del pèl moixí,Continuïtat formativa,90,Presencial
row-6gug-tvms.hr3x,259463,Formació i educació,Serveis socioculturals i a la comunitat,: SSCE0110_MF1445_Avaluació del procés d'ensenyament-aprenentatge en formació professional per a l'ocupació,Continuïtat formativa,60,Teleformació
row-snvi~4ksu_78kj,257729,Compravenda,Comerç i màrqueting,: COMT0411_MF0503_Promocions en espais comercials,Continuïtat formativa,70,adaptada a Aula virtual
row-dmrh~bjw4.7ajt,259464,Formació i educació,Serveis socioculturals i a la comunitat,: SSCE0110_MF1446_Orientació laboral i promoció de la qualitat en la formació professional per a l'ocupació,Continuïtat formativa,30,Teleformació
row-7ecj.e5c3_skbg,259464,Formació i educació,Serveis socioculturals i a la comunitat,: SSCE0110_MF1446_Orientació laboral i promoció de la qualitat en la formació professional per a l'ocupació,Continuïtat formativa,30,Teleformació
row-7a7r-6p7x.hx83,258946,Seguretat i prevenció,Seguretat i medi ambient,: SEAD0112_UF2676_Tècniques de protecció de persones,Continuïtat formativa,40,Presencial
row-s9ce.cwjq~ztgm,259588,Gestió de la informació i comunicació,Administració i gestió,: ADGG0508_MF0973_Enregistrament de dades,Continuïtat formativa,90,Teleformació
row-3b42~d8i3-rjnv,260456,Logística comercial i gestió del transport,Comerç i màrqueting,: COML0110_MF1326_Preparació de comandes,Continuïtat formativa,40,Presencial
row-dvds~p2gr.ysvj,260456,Logística comercial i gestió del transport,Comerç i màrqueting,: COML0110_MF1326_Preparació de comandes,Continuïtat formativa,40,Presencial
row-zk2c.yx2t~rpi3,240264,Fleca pastisseria confiteria i molineria,Indústries alimentàries,Elaboració de pans amb ferments naturals,Agroalimentària,10,Presencial
row-utik~53im~qs8y,252204,Conducció de vehicles per carretera,Transport i manteniment de vehicles,Mercaderies Perilloses Transport en Cisterna i Contenidors Cisternes (Formació Complementària CAP Mercaderies),Transports  comunicacions i mar,12,Presencial
row-dvgs.2za6_2rc3,249382,Fleca pastisseria confiteria i molineria,Indústries alimentàries,Aplicacions bàsiques de la xocolata,Agroalimentària,10,Presencial
row-ftpi~33m4-z27t,260456,Logística comercial i gestió del transport,Comerç i màrqueting,: COML0110_MF1326_Preparació de comandes,Continuïtat formativa,40,Presencial
row-7igh_t3f3.2y2m,253822,Compravenda,Comerç i màrqueting,Tècniques per a la venda i habilitats comercials,Comerç,40,Teleformació
row-fhv5-4yce_53xe,253824,Màrqueting i relacions públiques,Comerç i màrqueting,Analítica i màrqueting digital,Comerç,30,Teleformació
row-pyhr.7tnp.r7dk,244359,Ramaderia,Agrària,Benestar animal: especialitat en explotacions bovines ovines caprines de conills i altres,Agroalimentària,8,Presencial
row-3eir-967a.jwqk,252962,Administració i auditoria,Administració i gestió,Nòmines i seguretat social II,Serveis a les empreses,30,Teleformació
row-aht9.322u_jfhk,252960,Administració i auditoria,Administració i gestió,Nòmines i seguretat social I,Serveis a les empreses,30,Teleformació
row-8kvz_yd9h.6v6v,244748,Formació i educació,Serveis socioculturals i a la comunitat,Educació en perspectiva de gènere,Educació  formació i lleure,8,Presencial
row-w3pr.yzd2~ngmt,247245,Producció mecànica,Fabricació mecànica,Propietats mecàniques dels materials,Indústria,20,adaptada a Aula virtual
row-npxa~ymre.ic6b,244782,Logística comercial i gestió del transport,Comerç i màrqueting,Operació de carretons Norma UNE 58451,Comerç,24,Presencial
row-firp~aknw.au4u,258318,Atenció sanitària,Sanitat,: SANT0208_MF0071_Tècniques d'immobilització mobilització i trasllat del o de la pacient,Continuïtat formativa,100,Presencial
row-nrku_hcv8.w942,249494,Seguretat i prevenció,Seguretat i medi ambient,Mesures preventives en treballs en alçada,Indústria,8,Presencial
row-mhbu.vck4.5fsj,256881,Assistència social,Serveis socioculturals i a la comunitat,: SSCS0208_MF1017_Intervenció en l'atenció higienicoalimentària en institucions,Continuïtat formativa,70,Presencial
row-kj75_nz4w~zjse,244082,Logística comercial i gestió del transport,Comerç i màrqueting,Operació de carretons Norma UNE 58451,Comerç,24,Presencial
row-jwpv_u8m7.pdhu,244782,Logística comercial i gestió del transport,Comerç i màrqueting,Operació de carretons Norma UNE 58451,Comerç,24,Presencial
row-pwtx_pqcc_5sc6,252951,Desenvolupament,Informàtica i comunicacions,Aplicacions de la visió artificial a la indústria,Indústria,20,Teleformació
row-f3d4-92x7~z7s3,253908,Seguretat i prevenció,Seguretat i medi ambient,Tècniques de relaxació,Seguretat i salut laboral,20,Presencial
row-8hue~srng~thpi,249383,Ramaderia,Agrària,Benestar animal per a transportistes i responsables d'animals durant el transport,Agroalimentària,20,Presencial
row-2xv8_fa9j.4pxs,244600,Prevenció de riscos laborals i salut laboral,Competències transversals,Suport Vital Bàsic i desfibril·lació semiautomàtica (SVB DEA),Seguretat i salut laboral,6,Presencial
row-k6cp~czjq-7bkn,256230,Begudes,Indústries alimentàries,El procés d'enologia i el tast,Agroalimentària,40,Teleformació
row-rtni-bg2z~8uk3,244734,Atenció social,Serveis socioculturals i a la comunitat,Atenció al malalt d'Alzheimer,Sanitat  afers socials i serveis a les persones,20,Presencial
row-c7vz-xfwg-cvbf,252949,Confecció en tèxtil i pell,Tèxtil confecció i pell,Transformació i elaboració de models,Indústria,30,Teleformació
row-2u9j.4wwi~dr4v,247608,Administració i auditoria,Administració i gestió,Comptabilitat bàsica,Serveis a les empreses,60,Teleformació
row-g6sf-wg6x-ysgi,252331,Administració i auditoria,Administració i gestió,Nòmines i seguretat social II,Competències transversals de gestió i habilitats personals,30,Teleformació
row-mqp6~erj5~iu9h,252944,Producció mecànica,Fabricació mecànica,Fonaments de robòtica,Indústria,50,Teleformació
row-ggh9_azbi-jnb4,249537,Estètica,Imatge personal,Tècniques de maquillatge,Sanitat  afers socials i serveis a les persones,20,Presencial
row-9min~wp48.jatn,247179,Digitals / Ofimàtica / Tics,Formació complementària,LinkedIn: Funcionalitats posicionament i desenvolupament professional,Competències transversals de gestió i habilitats personals,12,adaptada a Aula virtual
row-6ixq~bhii.z4pz,252311,Administració i auditoria,Administració i gestió,Comptabilitat bàsica,Competències transversals de gestió i habilitats personals,60,Teleformació
row-kd4q_92p3.3j78,247569,Màrqueting i relacions públiques,Comerç i màrqueting,Màrqueting a cercadors: SEO SEM i analítica Web,Comerç,45,Teleformació
row-7ydi.qs3u-ap52,252314,Finances i assegurances,Administració i gestió,Finances d'empresa per a no financers,Competències transversals de gestió i habilitats personals,40,Teleformació
row-g9vk_c7rk_hpqt,243661,Seguretat i prevenció,Seguretat i medi ambient,Actualització i especialització per Vigilants de Seguretat vigilants d'explosius i escortes privats,Serveis a les empreses,20,Mixta
row-jght~q9if_bjve,247568,Màrqueting i relacions públiques,Comerç i màrqueting,Botiga virtual i gestió del comerç electrònic,Comerç,35,Teleformació
row-xjwt_rhmi_2ehv,252947,Desenvolupament,Informàtica i comunicacions,Inventor 3D Bàsic,Indústria,30,Teleformació
row-p6ea~mr5f_hcqh,247562,Màrqueting i relacions públiques,Comerç i màrqueting,Aparadorisme estratègic i Visual Design,Comerç,35,Teleformació
row-39mc.uctf~vpus,247576,Màrqueting i relacions públiques,Comerç i màrqueting,Promoció i negoci a través de les xarxes socials,Comerç,40,Teleformació
row-ssub-ff84.jhks,247563,Compravenda,Comerç i màrqueting,Atenció al client del petit comerç en llengua estrangera Anglès,Comerç,30,Teleformació
row-p9xg~hbhi.csg8,247566,Màrqueting i relacions públiques,Comerç i màrqueting,Inbound & outbound màrqueting,Comerç,30,Teleformació
