__id,email,nif_entitat_formaci,codi_municipi,nom_entitat_formaci,nom_municipi,codi_comarca,web,nom_comarca,tel_fon
row-nfce_4yx6-y4hp,formaciocatalunya@fundacionlaboral.org,G80468416,8015,FUNDACION LABORAL DE LA CONSTRUCCION,BADALONA,13,https://www.cursosenconstruccion.com/cursos-gratuitos/cataluna,BARCELONÈS,935210485
row-mnc7.zubt~2y8j,mireia.m@aurt.org,B66350729,8019,AÜRT CONSULTORIA I FORMACIÓ SL,BARCELONA,13,wwwaurt.org,BARCELONÈS,931003707
row-qjt5~zqy3-wckf,sroman@idfo.com,G60189057,8298,IDFO,VIC,24,www.idfo.com,OSONA,932689292
row-vuz5~th6d~txyx,sroman@idfo.com,G60189057,43123,IDFO,REUS,8,www.idfo.com,BAIX CAMP,932689292
row-89x2.irh2~rfa8,formacio@fundesplai.org,G61096368,8169,CENTRE DE FORMACIO DE FUNDESPLAI,PRAT DE LLOBREGAT EL,11,https://formacio.fundesplai.org,BAIX LLOBREGAT,935511533
row-7mt4~ziv3-edpb,formacio@gremipa.com,G08510190,8187,GREMI DE FLEQUERS DE LA PROVINCIA DE BARCELONA,SABADELL,40,www.gremipa.com,VALLÈS OCCIDENTAL,934871818
row-sh4j_rgi8~hr9q,formacio@gremipa.com,G08510190,8187,GREMI DE FLEQUERS DE LA PROVINCIA DE BARCELONA,SABADELL,40,www.gremipa.com,VALLÈS OCCIDENTAL,934871818
row-rw8s~jczv~f8i7,formacio@gremipa.com,G08510190,17066,GREMI DE FLEQUERS DE LA PROVINCIA DE BARCELONA,FIGUERES,2,www.gremipa.com,ALT EMPORDÀ,934871818
row-ym9d-247x.ccsj,fppuerto@ccoo.cat,G61676128,8019,FUNDACIÓ PER A LA FORMACIÓ I L'ESTUDI PACO PUERTO,BARCELONA,13,fundaciopacopuerto.cat,BARCELONÈS,934812717
row-2p6s.um6m.bs4r,formacio1@acra.cat,G58825811,8019,ACRA,BARCELONA,13,https://www.acra.cat/ca/formacio,BARCELONÈS,673724697
row-mbsn_5rqs_q822,ahotels@costa-daurada.com,G43241280,43171,ASSOCIACIÓ HOTELERA COSTA DAURADA I TERRES DE L' EBRE,VILA-SECA,36,ASSHOTELS.ES,TARRAGONÈS,977385057
row-6rgg_6w9i~huyp,mjesus@smilaxescueladeartefloral.com,B61002630,8219,SMILAX TALLER DE FLORISTICA S.L,VILASSAR DE MAR,21,SMILAX.ES,MARESME,610210320
row-n62f_ee8c~frpb,ahotels@costa-daurada.com,G43241280,43171,ASSOCIACIÓ HOTELERA COSTA DAURADA I TERRES DE L' EBRE,VILA-SECA,36,ASSHOTELS.ES,TARRAGONÈS,977385057
row-k72b.3a4m.u3px,sroman@idfo.com,G60189057,8113,IDFO,MANRESA,7,www.idfo.com,BAGES,932689292
row-d5pb-xjh2-t2xu,formacio@gremi-obres.org,G08531253,8019,GREMI DE CONSTRUCTORS D'OBRES DE BARCELONA I COMARQUES,BARCELONA,13,https://www.gremi-obres.org/formacio/,BARCELONÈS,932659430
row-wn8f_393w~2xwx,cursos@egaraformacio.com,B61406997,8279,Egara Formació,TERRASSA,40,www.egaraformacio.com,VALLÈS OCCIDENTAL,937339820
row-fzyt-5rae.sa76,fferre@emi-manresa.org,G08623209,8113,FUNDACIÓ EMI MANRESA,MANRESA,7,fundemi,BAGES,938734599
row-9hkm_trwf~5c9p,sroman@idfo.com,G60189057,8113,IDFO,MANRESA,7,www.idfo.com,BAGES,932689292
row-7j8m~5rfa~77eg,formacio@uier.org,G17119959,8022,UIER,BERGA,14,www.uier.org,BERGUEDÀ,972703111
row-9bvz_ykra.hc8v,formacio@uier.org,G17119959,17141,UIER,PUIGCERDÀ,15,www.uier.org,CERDANYA,972703111
row-ktm8.e73t~7gh6,sroman@idfo.com,G60189057,8113,IDFO,MANRESA,7,www.idfo.com,BAGES,932689292
row-dssy-x3iy.hce4,versailles@cf-versailles.com,B25383084,25120,CENTRE DE FORMACIÓ IDIOMES VERSAILLES SLU,LLEIDA,33,www.versailles.com,SEGRIÀ,973248041
row-gt5c.uqer~2cua,seccio04@autoescolamatadepera.cat,B64799901,8279,AUTOESCOLA MATADEPERA SL,TERRASSA,40,https://autoescolamatadepera.cat,VALLÈS OCCIDENTAL,607851623
row-zcqp~9ns2.mds3,formacio@fundesplai.org,G61096368,8169,CENTRE DE FORMACIO DE FUNDESPLAI,PRAT DE LLOBREGAT EL,11,https://formacio.fundesplai.org,BAIX LLOBREGAT,935511533
row-i8sy-vxhr-cc7u,formacio@uecgirona.com,G17047002,17079,UNIÓ D'EMPRESARIS DE LA CONSTRUCCIÓ DE GIRONA,GIRONA,20,https://www.uecgirona.com,GIRONÈS,972596460
row-wsnv.f2t5~pmb2,formacio@uecgirona.com,G17047002,17079,UNIÓ D'EMPRESARIS DE LA CONSTRUCCIÓ DE GIRONA,GIRONA,20,https://www.uecgirona.com,GIRONÈS,972596460
row-wzt6-qnub-xck7,formacio@pimec.org,B63103634,8205,ESSENTIA PERSONAS S.L.,SANT CUGAT DEL VALLÈS,40,www.pimecformacio.cat,VALLÈS OCCIDENTAL,934964500
row-i87z~x73s-kj6x,ajimenez@levelinstrukta.es,B65221947,8266,LEVELINSTRUKTA,CERDANYOLA DEL VALLÈS,40,www.levelinstrukta.com,VALLÈS OCCIDENTAL,674373705
row-nbt8_dqqi.u8cw,mikel@inkor.es,B75071613,8019,INKOR,BARCELONA,13,www.inkorformacion.com,BARCELONÈS,900905370
row-vej4-frir.4xwi,mikel@inkor.es,B75071613,8019,INKOR,BARCELONA,13,www.inkorformacion.com,BARCELONÈS,900905370
row-2azq.2qyc~m5t4,mikel@inkor.es,B75071613,8019,INKOR,BARCELONA,13,www.inkorformacion.com,BARCELONÈS,900905370
row-k9bx~na2v_dppp,mikel@inkor.es,B75071613,8019,INKOR,BARCELONA,13,www.inkorformacion.com,BARCELONÈS,900905370
row-ga9a_u6vx-2iyt,mikel@inkor.es,B75071613,8019,INKOR,BARCELONA,13,www.inkorformacion.com,BARCELONÈS,900905370
row-akjw-q7ps-yx6x,mikel@inkor.es,B75071613,8019,INKOR,BARCELONA,13,www.inkorformacion.com,BARCELONÈS,900905370
row-atab.4xm3_7985,formacio@pimec.org,G08623209,8113,FUNDACIÓ EMI MANRESA,MANRESA,7,www.pimecformacio.cat,BAGES,934964500
