email,nif_entitat_formaci,nom_entitat_formaci,web,tel_fon
formaciocatalunya@fundacionlaboral.org,G80468416,FUNDACION LABORAL DE LA CONSTRUCCION,https://www.cursosenconstruccion.com/cursos-gratuitos/cataluna,935210485
mireia.m@aurt.org,B66350729,AÜRT CONSULTORIA I FORMACIÓ SL,wwwaurt.org,931003707
sroman@idfo.com,G60189057,IDFO,www.idfo.com,932689292
formacio@fundesplai.org,G61096368,CENTRE DE FORMACIO DE FUNDESPLAI,https://formacio.fundesplai.org,935511533
formacio@gremipa.com,G08510190,GREMI DE FLEQUERS DE LA PROVINCIA DE BARCELONA,www.gremipa.com,934871818
fppuerto@ccoo.cat,G61676128,FUNDACIÓ PER A LA FORMACIÓ I L'ESTUDI PACO PUERTO,fundaciopacopuerto.cat,934812717
formacio1@acra.cat,G58825811,ACRA,https://www.acra.cat/ca/formacio,673724697
ahotels@costa-daurada.com,G43241280,ASSOCIACIÓ HOTELERA COSTA DAURADA I TERRES DE L' EBRE,ASSHOTELS.ES,977385057
mjesus@smilaxescueladeartefloral.com,B61002630,SMILAX TALLER DE FLORISTICA S.L,SMILAX.ES,610210320
formacio@gremi-obres.org,G08531253,GREMI DE CONSTRUCTORS D'OBRES DE BARCELONA I COMARQUES,https://www.gremi-obres.org/formacio/,932659430
cursos@egaraformacio.com,B61406997,Egara Formació,www.egaraformacio.com,937339820
fferre@emi-manresa.org,G08623209,FUNDACIÓ EMI MANRESA,fundemi,938734599
formacio@uier.org,G17119959,UIER,www.uier.org,972703111
versailles@cf-versailles.com,B25383084,CENTRE DE FORMACIÓ IDIOMES VERSAILLES SLU,www.versailles.com,973248041
seccio04@autoescolamatadepera.cat,B64799901,AUTOESCOLA MATADEPERA SL,https://autoescolamatadepera.cat,607851623
formacio@uecgirona.com,G17047002,UNIÓ D'EMPRESARIS DE LA CONSTRUCCIÓ DE GIRONA,https://www.uecgirona.com,972596460
formacio@pimec.org,B63103634,ESSENTIA PERSONAS S.L.,www.pimecformacio.cat,934964500
ajimenez@levelinstrukta.es,B65221947,LEVELINSTRUKTA,www.levelinstrukta.com,674373705
mikel@inkor.es,B75071613,INKOR,www.inkorformacion.com,900905370
formacio@pimec.org,G08623209,FUNDACIÓ EMI MANRESA,www.pimecformacio.cat,934964500
formacio@foment.com,B61420824,FOMENT FORMACIÓ,www.fomentformacio.com,934841232
comunicacio@gihostaleria.org,G17258864,Federació d'Hostaleria de les comarques de Girona,www.gihostaleria.org,972224344
formacio@formartalent.com,B56635774,AUTOESCOLA L'ASFALT,www.lasfalt.com,692511167
esmemaragda@hotmail.com,B61088159,CF ESTUDI IMATGE SL,https://formacionprofesionalstudy.com/,695452917
msalcedo.bcn@e-gri.com,B09390105,GRI,https://e-gri.com/,931998205
formacio@pimec.org,B66350729,AÜRT CONSULTORIA I FORMACIÓ SL,www.pimecformacio.cat,934964500
formacio@aeplaneta.es,B67388645,FORMACIÓ I ORIENTACIÓ PLANETA S.L.,https://aeplaneta.es/,679514394
formacio@shcformacio.com,B55234140,SH CONCEPT FORMACIÓ S.L,www.shcformacio.com,672371690
INFO@AUTOESCOLESMONTESO.COM,B43431402,AUTOSCOLA MONTESO SL,https://www.autoescolesmonteso.com/,977443525
formacio@pimec.org,B02714269,TRES PUNTS CONSULTORS SL,www.pimecformacio.cat,934964500
fcac@fcac.coop,G08859449,Federació de Cooperatives Agràries de Catalunya,www.cooperativesagraries.cat,932292018
formacio@transformat.cat,B66118290,TRANSFORMA'T,www.transformat.cat,633829895
formacion@aeball.net,G08623399,UPMBALL,https://www.aeball.com,933370450
info@aulaactiva.org,B64064223,AULA ACTIVA FORMACIÓ I SERVEIS SL,www.aulaactiva.org,934815581
dpch@femarec.cat,F59197996,FEMAREC,www.femarec.cat,932437272
gonzalo.rodriguez@balmesinnova.com,F08766131,CENTRE D'ESTUDIS JAUME BALMES,www.balmesinnova.com,609140649
isabel@talentocorporativo.com,B33872094,DICAMPUS SL,https://www.dicampus.es/,676555673
formem@FORMEM.CAT,B42809640,FORMEM,formem.cat,977608050
britishcentremollerussa2023@gmail.com,B25404468,BRITISH CENTRE FORMACIÓ ACADEMICA SL,BRTISH.ES,633893337
cursos@criteria.es,B62278783,CRITERIA,https://www.girosformacion.com,932652677
alaitz@laeformacion.net,B20910121,LAE FORMACIÓN PROGRAMADA S.L.,WWW.GRUPOLAE.NET,651074500
formacio@pimec.org,B62765201,PIME Coneixement S.L.,www.pimecformacio.cat,934964500
formacion@aeball.net,G59046193,AEBALL,https://www.aeball.com,933370450
formacio@grouphm.es,B05356811,Hemif Consulting,.,652677919
