nif_entitat_formaci,codi_municipi
G80468416,8015
B66350729,8019
G60189057,8298
G60189057,43123
G61096368,8169
G08510190,8187
G08510190,17066
G61676128,8019
G58825811,8019
G43241280,43171
B61002630,8219
G60189057,8113
G08531253,8019
B61406997,8279
G08623209,8113
G17119959,8022
G17119959,17141
B25383084,25120
B64799901,8279
G17047002,17079
B63103634,8205
B65221947,8266
B75071613,8019
B61420824,8019
G60189057,17079
G60189057,17095
G17258864,17147
B56635774,8187
G61676128,8073
B61088159,8096
B09390105,8019
B67388645,8279
B55234140,17164
G08510190,17079
B43431402,43155
B02714269,8015
G08859449,8100
B66118290,8279
G60189057,17066
G08623399,8019
B64064223,8019
F59197996,8019
F08766131,8208
G60189057,43155
B33872094,8184
B42809640,43155
B25404468,25137
B62278783,8019
G60189057,8279
B20910121,8279
B62765201,43148
G59046193,8019
B05356811,8101
