1,Administració d'Empreses i Gestió de la Innovació
2,Administració d'Empreses i Gestió de la Innovació / Màrqueting i Comunitats Digitals
3,Administració d'Empreses i Gestió de la Innovació / Turisme i Gestió del Lleure
4,Administració i Direcció d'Empreses
5,Administració i Direcció d'Empreses / Dret
6,Administració i Direcció d'Empreses / Economia
7,Administració i Direcció d'Empreses / Enginyeria en Organització Industrial i Logística
8,Administració i Direcció d'Empreses / Enginyeria en Tecnologies Industrials
9,Administració i Direcció d'Empreses / Enginyeria Informàtica
10,Administració i Direcció d'Empreses / Finances i Comptabilitat
11,Administració i Direcció d'Empreses / Màrqueting
12,Administració i Direcció d'Empreses / Màrqueting i Comunicació Digital
13,Administració i Direcció d'Empreses / Matemàtiques
14,Administració i Direcció d'Empreses / Química
15,Administració i Direcció d'Empreses / Sociologia
16,Administració i Direcció d'Empreses / Turisme
17,Administració i Direcció d'Empreses i Transformació de Negocis
18,Anglès
19,Antropologia i Evolució Humana
20,Antropologia Social i Cultural
21,Arqueologia
22,Arqueologia / Història
23,Arquitectura
24,Arts Escèniques
25,Arts i Disseny
26,Audiologia General
27,Belles Arts
28,Bioinformàtica
29,Biologia
30,Biologia / Biotecnologia
31,Biologia / Ciències Ambientals
32,Biologia Ambiental
33,Biologia Humana
34,Biomedicina
35,Bioquímica
36,Bioquímica i Biologia Molecular
37,Bioquímica i Biologia Molecular / Biotecnologia
38,Biotecnologia
39,Biotecnologia / Enginyeria Informàtica
40,Ciberseguretat
41,Ciència i Enginyeria de Dades
42,Ciència i Producció Animal / Veterinària
43,Ciència i Tecnologia dels Aliments
44,Ciència Política i Gestió Pública
45,Ciència Política i Gestió Pública / Dret
46,Ciència Política i Gestió Pública / Sociologia
47,Ciència Tecnologia i Humanitats
48,Ciències
49,Ciències Ambientals
50,Ciències Ambientals / Geologia
51,Ciències Biomèdiques
52,Ciències Culinàries i Gastronòmiques
53,Ciències de l'Activitat Física i de l'Esport
54,Ciències de l'Activitat Física i de l'Esport / Educació Primària
55,Ciències de l'Activitat Física i de l'Esport / Fisioteràpia
56,Ciències de l'Antiguitat
57,Ciències del Mar
58,Ciències Empresarials - Management
59,Ciències i Tecnologies Aplicades a l'Esport i al Fitnes
60,Ciències i Tecnologies del Mar
61,Ciències Polítiques i de l'Administració
62,Ciències Polítiques i de l'Administració / Dret
63,Cinematografia
64,Comptabilitat i Finances
65,Comunicació Audiovisual
66,Comunicació Audiovisual / Gestió d'Informació i Documentació Digital
67,Comunicació Audiovisual i Multimèdia
68,Comunicació Cultural
69,Comunicació de les Organitzacions
70,Comunicació i Indústries Culturals
71,Comunicació i Periodisme Audiovisuals
72,Comunicació Interactiva
73,Conservació - Restauració de Béns Culturals
74,Conservació de la Natura / Enginyeria Forestal
75,Criminologia
76,Criminologia / Dret
77,Criminologia i Polítiques Públiques de Prevenció
78,Criminologia i Polítiques Públiques de Prevenció / Dret
79,Direcció d'Empreses Hoteleres i Gastronòmiques
80,Direcció Hotelera
81,Direcció i Gestió d'Empreses en l'Àmbit Digital
