"Codi","Nom","Codi comarca"
"172327","Vilopriu","10"
"251811","Puigverd d'Agramunt","38"
"171962","Terrades","02"
"081607","Perafita","43"
"431785","Vinyols i els Arcs","08"
"080207","Begues","11"
"082975","Veciana","06"
"171215","Palau-sator","10"
"081897","Sant Pere Sallavinera","06"
"430192","Ascó","30"
"080137","Avinyonet del Penedès","03"
"179026","Forallac","10"
"171674","Sant Joan de les Abadesses","31"
"252056","Sidamon","27"
"171289","Pau","02"
"252249","Torms, els","18"
"081593","Parets del Vallès","41"
"171931","Sils","34"
"431172","Prat de Comte","37"
"430206","Banyeres del Penedès","12"
"081748","Puigdàlber","03"
"081332","Montmaneu","06"
"171030","Maçanet de la Selva","34"
"171306","Pera, la","10"
"080811","Fogars de Montclús","41"
"430056","Alcover","01"
"250061","Albagés, l'","18"
"251961","Sant Esteve de la Sarga","25"
"431107","Pobla de Massaluca, la","37"
"170221","Bisbal d'Empordà, la","10"
"170502","Cervià de Ter","20"
"250518","Bellver de Cerdanya","15"
"172168","Viladasens","20"
"082515","Santa Margarida i els Monjos","03"
"080538","Castellbell i el Vilar","07"
"431541","Torroja del Priorat","29"
"081304","Montclar","14"
"082397","Sant Quirze Safaja","42"
"250984","Gavet de la Conca","25"
"250411","Barbens","27"
"250334","Artesa de Lleida","33"
"431021","Paüls","09"
"431495","Tivenys","09"
"081629","Hostalets de Pierola, els","06"
"082994","Vilada","14"
"170255","Bordils","20"
"430568","Fatarella, la","37"
"431378","Sant Jaume dels Domenys","12"
"170314","Cabanelles","02"
"081108","Malgrat de Mar","21"
"251636","Coma i la Pedra, la","35"
"081206","Matadepera","40"
"082439","Santa Cecília de Voltregà","24"
"430751","Margalef","29"
"171925","Setcases","31"
"170834","Hostalric","34"
"082606","Santa Perpètua de Mogoda","40"
"431362","Ràpita, la","22"
"251556","Organyà","04"
"250674","Castelldans","18"
"259097","Vansa i Fórnols, la","04"
"431401","Santa Oliva","12"
"250729","Cervera","32"
"082227","Sant Llorenç d'Hortons","03"
"080594","Castellfollit del Boix","07"
"250058","Alàs i Cerc","04"
"170059","Far d'Empordà, el","02"
"259084","Fígols i Alinyà","04"
"080958","Granera","42"
"171236","Palol de Revardit","28"
"170871","Juià","20"
"171729","Sant Martí de Llémena","20"
"080749","Cubelles","17"
"171450","Ribes de Freser","31"
"251497","Oliana","04"
"080863","Franqueses del Vallès, les","41"
"250899","Farrera","26"
"250138","Alfarràs","33"
"171404","Port de la Selva, el","02"
"081614","Piera","06"
"252234","Torà","35"
"082166","Sant Jaume de Frontanyà","14"
"171805","Santa Coloma de Farners","34"
"170524","Siurana","02"
"251930","Sant Llorenç de Morunys","35"
"252385","Vallbona de les Monges","38"
"431690","Vilaplana","08"
"250019","Abella de la Conca","25"
"082384","Sant Quirze del Vallès","40"
"430189","Arnes","37"
"251500","Oliola","23"
"251850","Ribera d'Urgellet","04"
"081803","Ripollet","40"
"250870","Esterri de Cardós","26"
"251977","Sant Guim de la Plana","32"
"171903","Serinyà","28"
"081265","Montgat","21"
"081764","Pujalt","06"
"251044","Granyena de Segarra","32"
"081542","Pacs del Penedès","03"
"431248","Riba, la","01"
"172001","Tortellà","19"
"431009","Pallaresos, els","36"
"170950","Lloret de Mar","34"
"170932","Llers","02"
"170025","Aiguaviva","20"
"431384","Santa Bàrbara","22"
"170157","Banyoles","28"
"082303","Premià de Dalt","21"
"082153","Sant Hipòlit de Voltregà","24"
"250175","Alins","26"
"252075","Solsona","35"
"170583","Crespià","28"
"081022","Igualada","06"
"431652","Vilabella","01"
"250827","Espot","26"
"083054","Vilafranca del Penedès","03"
"082687","Cercs","14"
"250352","Sentiu de Sió, la","23"
"081580","Papiol, el","11"
"170268","Borrassà","02"
"081770","Quar, la","14"
"171984","Torroella de Fluvià","02"
"080425","Cànoves i Samalús","41"
"171479","Ripoll","31"
"080364","Calonge de Segarra","06"
"080898","Gavà","11"
"080620","Castellnou de Bages","07"
"080826","Fogars de la Selva","34"
"259062","Valls d'Aguilar, les","04"
"171208","Palau-saverdera","02"
"082508","Santa Margarida de Montbui","06"
"171024","Maçanet de Cabrenys","02"
"430287","Bisbal del Penedès, la","12"
"171352","Pont de Molins","02"
"080847","Fonollosa","07"
"430976","Nou de Gaià, la","36"
"251919","Sanaüja","32"
"430770","Mas de Barberans","22"
"172121","Vidrà","24"
"081075","Lliçà d'Amunt","41"
"431671","Vilanova d'Escornalbou","08"
"170643","Espolla","02"
"431270","Riudecanyes","08"
"251752","Prats i Sansor","15"
"251826","Puigverd de Lleida","33"
"430653","Garcia","30"
"431515","Torre de Fontaubella, la","29"
"170947","Llívia","15"
"171117","Navata","02"
"250753","Clariana de Cardener","35"
"170600","Darnius","02"
"430923","Mont-roig del Camp","08"
"251522","Oluges, les","32"
"081901","Saldes","14"
"431457","Selva del Camp, la","08"
"430271","Bisbal de Falset, la","29"
"431750","Vilalba dels Arcs","37"
"431439","Savallà del Comtat","16"
"171077","Molló","31"
"082359","Sant Pol de Mar","21"
"172266","Vilamalla","02"
"081461","Olesa de Bonesvalls","03"
"250978","Fulleda","18"
"251057","Granyena de les Garrigues","18"
"259010","Vall de Cardós","26"
"250292","Arbeca","18"
"430419","Caseres","37"
"082704","Sitges","17"
"170911","Llanars","31"
"080522","Castellar de n'Hug","14"
"080229","Berga","14"
"082573","Santa Maria de Miralles","06"
