0,AA,"AGRICULTURA, RAMADERIA, CAÇA I SILVICULTURA",A
1,BB,"PESCA",B
2,CA,"EXTRACCIÓ DE PRODUCTES ENERGÈTICS",C
3,CB,"EXTRACCIÓ D'ALTRES MINERALS EXCEPTE PRODUCTES ENERGÈTICS",C
4,DA,"INDÚSTRIES DE L'ALIMENTACIÓ, BEGUDES I TABAC",D
5,DB,"INDÚSTRIES TÈXTILS I DE LA CONFECCIÓ",D
6,DC,"INDÚSTRIES DEL CUIR I DEL CALÇAT",D
7,DD,"INDÚSTRIES DE LA FUSTA I DEL SURO",D
8,DE,"INDÚSTRIES DEL PAPER; EDICIÓ, ARTS GRÀFIQUES I REPRODUCCIÓ DE SUPORTS ENREGISTRATS",D
9,DF,"REFINACIÓ DE PETROLI I TRACTAMENT DE COMBUSTIBLES NUCLEARS",D
10,DG,"INDÚSTRIES QUÍMIQUES",D
11,DH,"INDÚSTRIES DE LA TRANSFORMACIÓ DEL CAUTXÚ I MATÈRIES PLÀSTIQUES",D
12,DI,"INDÚSTRIES D'ALTRES PRODUCTES MINERALS NO METÀL·LICS",D
13,DJ,"METAL·LÚRGIA I FABRICACIÓ DE PRODUCTES METÀL·LICS",D
14,DK,"INDÚSTRIES DE LA CONSTRUCCIÓ DE MAQUINÀRIA I EQUIPS MECÀNICS",D
15,DL,"INDÚSTRIES DE MATERIALS I EQUIPS ELÈCTRICS, ELECTRÒNICS I ÒPTICS",D
16,DM,"FABRICACIÓ DE MATERIALS DE TRANSPORT",D
17,DN,"INDÚSTRIES MANUFACTURERES DIVERSES",D
18,EE,"PRODUCCIÓ I DISTRIBUCIÓ D'ENERGIA ELÈCTRICA, GAS I AIGUA",E
19,FF,"CONSTRUCCIÓ",F
20,GG,"COMERÇ; REPARACIÓ DE VEHICLES DE MOTOR, MOTOCICLETES I CICLOMOTORS, I ARTICLES PERSONALS I D'ÚS DOMÈSTIC",G
21,HH,"HOTELERIA",H
22,II,"TRANSPORT, EMMAGATZEMATGE I COMUNICACIONS",I
23,JJ,"MEDIACIÓ FINANCERA",J
24,KK,"ACTIVITATS IMMOBILIÀRIES I DE LLOGUER; SERVEIS EMPRESARIALS",K
25,LL,"ADMINISTRACIÓ PÚBLICA, DEFENSA I SEGURETAT SOCIAL OBLIGATÒRIA",L
26,MM,"EDUCACIÓ",M
27,NN,"ACTIVITATS SANITÀRIES I VETERINÀRIES, SERVEIS SOCIALS",N
28,OO,"ALTRES ACTIVITATS SOCIALS I DE SERVEIS PRESTATS A LA COMUNITAT; SERVEIS PERSONALS",O
29,PP,"LLARS QUE OCUPEN PERSONAL DOMÈSTIC",P
30,QQ,"ORGANISMES EXTRATERRITORIALS",Q
